电影名称;上映时间;闭映时间;出品公司;导演;主角;影片类型;票房/万;评分;
《爱宠大机密》;2016.8.2;2016.9.17;环球影业、照明娱乐;亚罗·切尼、克里斯·雷纳德;艾丽·坎伯尔，凯文·哈特 ，蕾克·贝尔 ，艾伯特·布鲁克斯 ，鲍比·莫伊尼汉;动画、喜剧;38923.5 ;7.5 ;
《超脑48小时》;2016.5.13;2016.6.19;千年影业;阿里尔·弗罗门;凯文·科斯特纳，加里·奥德曼，盖尔·加朵 ，汤米·李·琼斯，瑞安·雷诺兹，迈克尔·皮特;剧情、动作、犯罪;10355.2 ;6.4 ;
《猎神：冬日之战》;2016.4.22;2016.5.29;环球影业（美国）;塞德里克·萨科;克里斯·海姆斯沃斯，查理兹·塞隆，艾米莉·布朗特，杰西卡·查斯坦;动作、科幻、剧情;10632.2 ;5.4 ;
《神战：权力之眼》;2016.3.11;2016.4.24;顶峰娱乐;亚历克斯·普罗亚斯;杰拉德·巴特勒，尼古拉·科斯特-瓦尔道，杰弗里·拉什，布兰顿·思怀兹，科特妮·伊顿;冒险、奇幻、动作;23541.9 ;6.5 ;
《惊天魔盗团2》;2016.6.24;2016.8.7;狮门影业;朱浩伟;杰西·艾森伯格，伍迪·哈里森，戴夫·弗兰科，马克·鲁法洛，丹尼尔·雷德克里夫，周杰伦，丽兹·卡潘，迈克尔·凯恩，摩根·弗里曼;动作、喜剧、惊悚;63891.4 ;6.5 ;
《巴黎危机》;2016.9.20;2016.10.7; 法国第4电视台（法国）;詹姆斯·瓦特金斯;伊德瑞斯·艾尔巴，理查德·麦登，凯利·蕾莉，夏洛特·莱本，何塞·加西亚;动作、剧情、悬疑;1446.2 ;6.4 ;
《伦敦陷落》;2016.4.8;2016.5.22;焦点电影公司（美国）;巴巴克·纳加非;杰拉德·巴特勒，艾伦·艾克哈特，摩根·弗里曼，阿隆·阿布布尔，安吉拉·贝塞特;动作、犯罪、惊悚;33981.0 ;6.1 ;
《巴霍巴利王：开端》;2016.7.22;2016.8.7;Arka Mediaworks;S·S·拉贾穆里;帕拉巴斯，特曼娜·巴蒂亚，安努舒卡·谢蒂，纳赛尔;动作、冒险、历史、战争;749.7 ;7.2 ;
《哆啦A梦：新·大雄的日本诞生》;2016.7.22;2016.8.28;哆啦A梦制作委员会;八锹新之介;水田山葵，大原惠美，嘉数由美，关智一，木村昴，白石凉子，大冢芳忠;动画电影（科幻，冒险）;10361.0 ;7.1 ;
《寄生兽》;2016.9.2;2016.9.25;电影《寄生兽》制作委员会;山崎贵;染谷将太，深津绘里，阿部贞夫，桥本爱;血腥;4834.4 ;7.4 ;
《谍影重重5》;2016.8.23;2016.10.7;环球影业;保罗·格林格拉斯;马特·达蒙，汤米·李·琼斯，艾丽西卡·维坎德，朱丽娅·斯蒂尔斯，文森·卡索;动作、惊悚;44710.7 ;7.3 ;
《星际迷航：超越星辰》;2016.9.2;2016.10.16;派拉蒙影业公司;林诣彬;克里斯·派恩，扎克瑞·昆图，佐伊·索尔达娜，西蒙·佩吉;科幻、动作;44097.9 ;7.3 ;
《鲨滩》;2016.9.9;2016.10.16;哥伦比亚电影公司（美国）;佐米·希尔拉;布蕾克·莱弗利;剧情、恐怖、惊悚;10171.7 ;7.1 ;
《九条命》;2016.9.9;2016.10.16;法国欧罗巴电影公司、上海基美影业股份有限公司联合出品;巴里·索南菲尔德;凯文·史派西，詹妮弗·加纳，克里斯托弗·沃肯，罗比·阿梅尔;喜剧、家庭、奇幻;11204.3 ;6.9 ;
《冰川时代5：星际碰撞》;2016.8.23;2016.10.7;蓝天工作室（美国）;盖伦 T·楚、麦克·特米尔;雷·罗马诺，丹尼斯·利瑞，约翰·雷吉扎莫，柯柯·帕尔莫;动画、喜剧、冒险;44727.7 ;6.6 ;
