电影名称,评分,评论数,类型,地区,上映年份,总分
家族荣誉3：家门的复,6.5,2001,剧情/喜剧/犯罪,韩国,2006,13006.5
短暂的生命,6.2,2001,剧情/惊悚,香港,2009,12406.2
少女怪谈,5.4,2001,恐怖,韩国,2014,10805.4
外遇的好日子,6.2,1999,喜剧/爱情,韩国,2007,12393.8
天鹅湖,9.4,1998,舞台艺术,英国,1998,18781.2
惊变 驚,6.6,1998,剧情/爱情/犯罪,香港,1905,13186.8
军情五处：利益之争,6,1998,剧情/动作/惊悚,英国,2015,11988
劈腿困境,5.8,1998,剧情/喜剧,美国,2011,11588.4
香颂鬼屋,5.8,1998,恐怖,泰国,2007,11588.4
性事电影,5.8,1998,喜剧,美国,2009,11588.4
连升三级,8.5,1996,动画,中国大陆,1905,16966
桃花源记,8.2,1996,动画/短片,中国大陆,1905,16367.2
坏小子巴比,8.1,1996,剧情/犯罪,澳大利亚/意大利,1993,16167.6
衣食住行,8.1,1996,喜剧/动画/短片/家庭,英国,1989,16167.6
耻,7.3,1996,剧情,澳大利亚/南非,2008,14570.8
威龙猛探 威龍猛,6.1,1996,剧情/动作/犯罪,香港/美国,1985,12175.6
偷吻 ,7.9,1995,剧情/喜剧/爱情,法国,1968,15760.5
我人生中最美的一周,7.5,1995,剧情,韩国,2005,14962.5
阿特拉斯耸耸肩,7.2,1995,剧情/科幻/悬疑,美国,2011,14364
罐头里的精灵 ,8.1,1994,动画/短片,瑞士,2006,16151.4
抢钱夫妻,8,1994,喜剧,香港,1993,15952
三女休夫,5.7,1994,剧情/喜剧/古装,中国大陆,1994,11365.8
替身 アナザ,4.8,1994,悬疑,日本,2012,9571.2
天庭外传,5.3,1993,喜剧/动作/奇幻/武侠/古装,香港,1905,10562.9
卷毛头,8.4,1992,爱情/歌舞/家庭,美国,1935,16732.8
音响生命体 音響生命体ノイズマ,7.8,1992,动画/短片,日本,1997,15537.6
杰克与豆茎,7.3,1992,剧情/奇幻/冒险,美国,2001,14541.6
一小时快照,7.1,1992,剧情/惊悚,美国,2002,14143.2
尸城 屍,4.1,1992,动作/恐怖,香港,2014,8167.2
安全至下,8.8,1991,喜剧/爱情/惊悚,美国,1923,17520.8
哆啦A梦：大雄与风之使者 ドラえもん のび太とふしぎ,7.9,1991,剧情/科幻/动画/儿童,日本,2003,15728.9
末路爱神,7.6,1991,剧情/喜剧/爱情,英国,2006,15131.6
天才与白痴 天才與白,7.4,1990,喜剧,香港,1975,14726
堕落天使,6.9,1990,剧情/惊悚/战争/西部,美国,2006,13731
迷魂之密室逃脱,4,1990,悬疑/惊悚,中国大陆,2013,7960
你逃我也逃,8.5,1989,剧情/喜剧/战争,美国,1983,16906.5
父亲的荣耀 ,8.4,1989,剧情/传记/冒险,法国,1990,16707.6
走私者 スマグラー　おまえの未来を運,7.3,1989,剧情,日本,2011,14519.7
沉默生机,6.7,1989,剧情/惊悚/犯罪,美国/澳大利亚,2001,13326.3
纯真时代,5.6,1989,剧情/爱情/历史,韩国,2015,11138.4
开罗宣言,2.9,1989,剧情/历史,中国大陆,2015,5768.1
一分钟时间机器,8.3,1988,喜剧/爱情/科幻/短片,美国/英国,2014,16500.4
斯通家族,6.4,1988,剧情/喜剧/爱情/家庭,美国,2005,12723.2
古畑任三郎 大使杀人事件 古畑任三郎　すべて閣下の,8.3,1987,悬疑/犯罪,日本,2004,16492.1
全国歌唱竞赛,6.4,1987,喜剧/爱情,韩国,2013,12716.8
天伦之旅,8.7,1986,剧情,意大利/法国/美国,1990,17278.2
不公平 电影版 アンフ,6.8,1986,剧情/动作/犯罪,日本,2007,13504.8
钻石,5.6,1986,动作/惊悚/犯罪,法国/比利时/卢森堡,2009,11121.6
蓝调之歌,8.1,1984,喜剧/动画/奇幻,美国,2008,16070.4
禅,7.8,1984,剧情/传记,日本,2009,15475.2
夺命金字塔,4.8,1984,恐怖,美国,2014,9523.2
山村老尸 3 恶,4.6,1983,恐怖,香港,1905,9121.8
异教徒,7.5,1982,悬疑/恐怖,英国,1973,14865
送乡人,7,1981,剧情/西部,法国/美国,2014,13867
百濑，朝向这边 百瀬、こっちを向いて,6.6,1981,剧情/爱情,日本,2014,13074.6
母亲的城堡 ,8.6,1980,剧情/喜剧/爱情/传记/冒险,法国,1990,17028
凶恶 凶,6.7,1979,惊悚,日本,2013,13259.3
龙与虎OVA：便当的精髓 とらドラ!,8.2,1978,爱情/动画,日本,2011,16219.6
宫本武藏续 一乘寺之决斗 続宮本武蔵 一乗寺,7.4,1977,剧情/动作/传记/历史/冒险,日本,1955,14629.8
无人之子,5.7,1977,动作/惊悚/犯罪,美国,2011,11268.9
纵身一跃,4.4,1976,短片,中国大陆,2011,8694.4
智利说不,7.4,1975,剧情/历史,智利/美国/法国/墨西哥,2012,14615
意乱情迷,5.9,1975,剧情/爱情,中国,2007,11652.5
安塔芮丝,6.3,1974,剧情/情色,奥地利,2005,12436.2
脑浆炸裂少女 脳漿炸裂ガー,4.5,1974,科幻/冒险,日本,2015,8883
踩虎尾的男人 虎の尾を踏む男,7.5,1973,剧情/惊悚/冒险,日本,1952,14797.5
危机四伏,6.7,1972,剧情/悬疑/惊悚/恐怖,美国,2000,13212.4
铁扇公主,8.5,1971,剧情/动画,中国大陆,1941,16753.5
在异国,6.7,1971,剧情/爱情,韩国,2012,13205.7
圣诞前夜,6.1,1970,喜剧,美国,2015,12017
赏金杀手,5.3,1970,动作/科幻/惊悚,美国,2013,10441
惨死,5.5,1969,惊悚/恐怖,泰国,2010,10829.5
死神蘑菇,5.4,1969,惊悚/恐怖,爱尔兰/丹麦/英国,2007,10632.6
剧场版魔法少女小圆 后篇 永远的故事 劇場版 魔法少女まどか☆マギカ [後,8.9,1968,动画,日本,2012,17515.2
我知道,7.8,1968,动画/短片,中国大陆,1905,15350.4
同中有异,7.2,1968,剧情,德国,2009,14169.6
我为勾勾狂,7.8,1966,喜剧/同性,美国,2013,15334.8
三个夏天 三個夏,7.7,1966,剧情,台湾,1905,15138.2
解剖外星人,7.5,1966,喜剧/科幻,德国/英国,2006,14745
卿本佳人,5.9,1966,剧情/爱情/情色,香港,1991,11599.4
纺织姑娘,7.2,1965,剧情,中国大陆,2010,14148
93号,7.5,1964,剧情/历史/灾难,加拿大/美国,2006,14730
画框中的男人 Человек в ра,7.9,1963,动画/短片,苏联,1905,15507.7
年度人物,7.4,1963,剧情/喜剧/爱情/惊悚,美国,2006,14526.2
就是闹着玩的,6.9,1963,喜剧,中国大陆,2012,13544.7
鬼神传 鬼神,5.9,1963,剧情/动画,日本,2011,11581.7
平面世界,8.5,1962,动画/短片,英国,1905,16677
惩恶扬善！白领侠！！ 悪いのを倒せ!!サラリーマ,8.2,1962,喜剧/动画/短片,日本,2005,16088.4
霹雳五号续集,8.1,1962,喜剧/科幻/家庭,美国,1988,15892.2
与个人无关,7.7,1962,剧情,爱尔兰/荷兰,1905,15107.4
国士无双 國士無,7.3,1962,喜剧/动作,台湾,2006,14322.6
双姝奇恋,7,1962,剧情/喜剧/爱情,美国,1996,13734
致命诱惑,7,1961,剧情/惊悚,美国,1987,13727
尸骨无存,5.1,1961,惊悚/恐怖,美国,2009年,10001.1
为所应为,8,1960,剧情,美国,1989,15680
求偶一支公,7.1,1960,剧情/喜剧/爱情,韩国,2001,13916
她找我,6.6,1960,剧情/喜剧/爱情,美国,2007,12936
猛鬼街,6,1960,惊悚/恐怖/奇幻,美国,1985,11760
热血男人帮,5.2,1960,喜剧,中国大陆,2015,10192
梦回鹿鼎记,4.9,1960,动作/短片/武侠,中国大陆,2011,9604
聪明的一休之反斗公主,5.4,1959,动画/悬疑,中国大陆/日本,2014,10578.6
宫本武藏 完结篇 决斗岩流岛 宮本武蔵 完結篇 ,7.6,1958,剧情/动作/传记/历史/冒险,日本,1956,14880.8
变身小姐,4.6,1958,喜剧,韩国,2013,9006.8
台北夜蒲团团转 台北夜蒲團團,3.7,1958,喜剧/爱情,香港,2015,7244.6
再见，在也不见 再見，在也不,7.6,1957,剧情/爱情/同性/家庭,中国大陆/新加坡/泰国/台湾,2016,14873.2
心智相投,7.5,1957,悬疑/惊悚/恐怖/犯罪,澳大利亚/英国,2006,14677.5
石中剑,7.7,1956,动画/家庭/荒诞,美国,1963,15061.2
体热,7.5,1955,剧情/惊悚/犯罪,美国,1981,14662.5
堕落指南,6.8,1955,喜剧,美国,2007,13294
萨德侯爵,6.5,1955,剧情/传记/历史/犯罪,法国,2001,12707.5
完美学分,6.2,1955,喜剧/犯罪,美国/德国,2004,12121
礼物,6.9,1954,剧情,日本,2014,13482.6
死亡占卜,5.2,1953,动作/惊悚/恐怖/冒险,美国,2014,10155.6
上帝帮助女孩,6.8,1952,剧情/爱情/歌舞,英国,2014,13273.6
失魂姐弟,6.6,1952,剧情,美国,2014,12883.2
鬼娃的诅咒,5.3,1952,惊悚/恐怖,美国,2013,10345.6
银色·性·男女,7.7,1950,剧情/喜剧,美国,1993,15015
悍将奇兵,7.3,1950,悬疑/惊悚/犯罪,美国,1997,14235
翼·年代记 剧场版 鸟笼国的公主 劇場版 ツバサ・クロニクル 鳥カ,7.3,1950,动作/爱情/动画/短片/奇幻/冒险,日本,2005,14235
血与蜜之地,6.6,1950,剧情/爱情/战争,美国,2011,12870
漩涡 うずま,5.6,1950,恐怖,日本,2000,10920
学院男孩,8.4,1949,短片,加拿大,2013,16371.6
何时是读书天 いつか読書する,8.2,1949,剧情/爱情,日本,2005,15981.8
金色豪门,8.2,1949,剧情/爱情,德国/葡萄牙/丹麦/美国,1993,15981.8
甘泉玛侬,8,1949,剧情/爱情,法国/意大利/瑞士,1986,15592
光明的未来 アカルイミラ,8,1947,剧情,日本,2003,15576
烈火中永生,7.6,1945,剧情,中国大陆,1905,14782
恶灵空间,6,1945,剧情/悬疑/惊悚/恐怖,德国/新西兰/美国,2005,11670
怕羞的黄莺,8,1944,动画/短片,中国大陆,1905,15552
美女与野兽 ,7.8,1944,剧情/爱情/奇幻,法国,1946,15163.2
神犬小巴迪,7.7,1944,喜剧/家庭,美国,2006,14968.8
美丽在唱歌 美麗在唱,6.7,1944,剧情/同性,台湾,1997,13024.8
坦克大决战,7.4,1943,剧情/动作/战争,美国,1965,14378.2
天堂五分钟,7,1943,剧情/惊悚/犯罪,英国,2009,13601
圆舞,6.9,1943,剧情/爱情,英国/奥地利/法国/巴西,2011,13406.7
彻夜狂欢,6.3,1943,喜剧,美国,2004,12240.9
吉星高照,3.1,1943,喜剧,香港/中国大陆/台湾,2015,6023.3
第二十二条军规,7.5,1941,喜剧/战争,美国,1970,14557.5
四戒,6.1,1941,剧情/喜剧,中国大陆,2012,11840.1
巴阿里亚 ,7.6,1940,剧情/喜剧/历史/战争,意大利/法国,2009,14744
我爱的男人,8.2,1938,剧情/同性,法国,1997,15891.6
时失2公,7.4,1938,喜剧/恐怖,韩国,2004,14341.2
盲目约会,6.8,1938,喜剧/爱情,美国,2006,13178.4
恶梦侦探 悪夢探,6.5,1938,惊悚/恐怖/奇幻,日本,2007,12597
跳跃大搜查线最终篇：新的希望 踊る大捜査線 THE ,7.9,1937,剧情/动作/犯罪,日本,2012,15302.3
爱即所求,7.6,1937,剧情/喜剧/爱情/同性/家庭,德国,2009,14721.2
我们是贵族,6.6,1937,喜剧,墨西哥,2013,12784.2
芭比之真假公主,7.7,1936,喜剧/动画/歌舞/家庭,美国,2004,14907.2
致命武器,6.8,1936,动作/惊悚/犯罪,美国,1992,13164.8
从军记,8.8,1935,喜剧/战争,美国,1918,17028
乐自芳邻来,6.9,1935,剧情/喜剧/爱情,美国,1998,13351.5
哆啦A梦：大雄的宇宙开拓史 映画ドラえもん のび太の宇宙,8,1934,科幻/动画/冒险,日本,1981,15472
自由的幻影 ,8.5,1933,剧情/喜剧,法国/意大利,1974,16430.5
肮脏电影,5.6,1933,喜剧,美国,1905,10824.8
沙西米,4,1933,喜剧/爱情,台湾,2015,7732
南征北战,7.2,1932,剧情/战争,中国大陆,1905,13910.4
欢乐叮当 歡樂叮,6.4,1932,喜剧,香港,1986,12364.8
蔷薇的葬礼 薔薇の葬,8.1,1931,剧情/同性,日本,1969,15641.1
X,6.6,1931,剧情/喜剧,英国,2014,12744.6
恋爱的味道,6,1931,喜剧/爱情,韩国,2015,11586
鲍比,7.5,1930,剧情/历史,美国,2006,14475
太空牛仔,7.4,1930,惊悚/冒险,美国/澳大利亚,2000,14282
大四喜,4.5,1930,喜剧,香港,2008,8685
饲养乌鸦 ,8.5,1929,剧情,西班牙,1976,16396.5
小早川家之秋 小早川家の,8.5,1929,剧情,日本,1961,16396.5
开战日,7.2,1929,剧情/战争,丹麦,2015,13888.8
约会电影,5.2,1929,喜剧/爱情,美国/瑞士,2006,10030.8
浪荡儿,8.4,1928,剧情/喜剧,意大利/法国,1953,16195.2
鬼作秀,7.4,1928,喜剧/科幻/惊悚/恐怖/奇幻,美国,1987,14267.2
纳粹追凶,7,1928,剧情/惊悚,美国/加拿大/法国,1998,13496
宇宙只有我和你,7.7,1927,剧情/喜剧/爱情,泰国/日本,2005,14837.9
隐墙,7.2,1927,剧情/奇幻,德国/奥地利,2012,13874.4
愤怒乒乓球,5.1,1926,喜剧/动作/爱情/犯罪/运动,美国,2007,9822.6
乌鸦,8.1,1925,剧情/悬疑/惊悚/犯罪,法国,1943,15592.5
匈奴大帝,7.2,1924,动作/传记/冒险,美国/立陶宛,2001,13852.8
我最好的朋友,7.8,1923,喜剧,法国,2006,14999.4
伟大的巴克·霍华德,6.8,1923,剧情/喜剧,美国,2008,13076.4
蓝眼睛米奇,6.7,1923,喜剧/爱情/犯罪,英国/美国,1999,12884.1
魔鬼游乐场,5.5,1922,动作/恐怖,英国,2010,10571
漫游者,8.3,1921,科幻/动画/短片,美国,2014,15944.3
长毛狗,6.6,1921,喜剧/家庭/奇幻,美国,2006,12678.6
黄金岛历险记 黃金島歷險,6.4,1921,家庭/奇幻,香港,1996,12294.4
查无此人,5.2,1921,剧情/悬疑,中国大陆,2012,9989.2
天堂的孩子,8.8,1920,剧情/爱情,法国,1945,16896
姜戈,7.7,1920,西部,意大利/西班牙,1966,14784
金玫瑰洞 ,8.9,1919,爱情/奇幻,意大利,1991,17079.1
呼风唤雨！光荣的烤肉之路 嵐を呼ぶ 栄光のヤキニクロ,8.1,1919,动画,日本,2003,15543.9
侠僧探案传奇之聚义钱庄,7.2,1919,动作/悬疑/武侠/古装,中国大陆,2015,13816.8
蛇少女 おろ,6,1919,恐怖,日本,2008,11514
礼帽,8.2,1918,喜剧/爱情/歌舞,美国,1937,15727.6
鹤屋和熏干酪 にょろーん ちゅるや,8,1918,动画,日本,2009,15344
蒙古精神 Ург,8.4,1917,剧情,法国/苏联,1991,16102.8
似水流年,8.2,1917,剧情,香港/中国大陆,1984,15719.4
电梯惊魂,3.5,1917,悬疑/惊悚,中国大陆,2013,6709.5
西鹤一代女 西鶴一代,8.3,1916,剧情,日本,1952,15902.8
倾城,6.3,1916,剧情/犯罪/灾难,中国大陆,2013,12070.8
妖狐×仆SS  TV未放送第13话 妖,8.1,1915,剧情/喜剧/动画,日本,2012,15511.5
爱情,6.8,1915,剧情/爱情,泰国,2012,13022
法国贩毒网,6.6,1915,剧情/动作/惊悚/犯罪,美国,1975,12639
唐·海明威,6.1,1915,剧情/喜剧/犯罪,英国,2013,11681.5
纪念日快乐,8.2,1914,爱情/动画/短片,中国大陆,2011,15694.8
我的神秘之花,7.8,1914,剧情,西班牙/法国,1995,14929.2
危险思想的自白,7.3,1914,剧情/喜剧/爱情/惊悚/传记/犯罪,美国/英国/德国,2002,13972.2
壳中少女：燃烧 マルドゥック・スクランブル,8,1913,动画,日本,2011,15304
推理要在晚餐后SP：风祭警部的事件簿 謎解きはディナーのあとで スペシャル～風祭警部の,6.9,1913,喜剧/悬疑/犯罪,日本,2013,13199.7
侠女传奇,6.2,1912,动作,中国大陆/香港,1993,11854.4
恶魔在身后,5.7,1912,悬疑/惊悚/恐怖,韩国,2007,10898.4
鬼打鬼之黄金道士,6.6,1910,喜剧/动作/恐怖,香港,1992,12606
三十极夜2：黑暗的日,4.7,1910,恐怖,美国,1905,8977
性瘾者,6.9,1909,喜剧/情色/传记,美国,2005,13172.1
笑侠楚留香 笑俠楚留,5.9,1909,喜剧/动作,香港,1993,11263.1
不确定,6.2,1908,剧情,美国,2009,11829.6
木更津猫眼 日本篇 木更津キャッツアイ 日本シ,8.7,1906,剧情/喜剧/运动,日本,2003,16582.2
初恋从打嗝开始,6.2,1906,喜剧,丹麦,1999,11817.2
死人岛,4.8,1906,恐怖,美国/加拿大,2009,9148.8
回转,7.8,1905,剧情/爱情/短片,韩国,2008,14859
西岳奇童,8.8,1904,动画,中国大陆,1905,16755.2
生活的发现,7.6,1904,剧情,韩国,2002,14470.4
布克和海尔,6.7,1904,喜剧/惊悚,英国,2010-10-29/2010-09-09（美国）,12756.8
甜丝丝 甜絲,6.1,1904,喜剧,香港,2004,11614.4
史前巨鳄,5.9,1904,喜剧/动作/惊悚/恐怖,美国,1999,11233.6
科学怪人,7.5,1903,科幻/恐怖,美国,1931,14272.5
渡江侦察记,7.4,1903,剧情/战争,中国大陆,1905,14082.2
维多利亚的秘密201,8.7,1902,真人秀,美国,2010,16547.4
台北异想 台北異,7.2,1902,剧情/喜剧,台湾,2009,13694.4
我恨情人节,5.5,1902,喜剧/爱情,美国,2009,10461
少林搭棚大师 少林搭棚大,7.3,1901,喜剧/动作,香港,1980,13877.3
哥哥的烟火 おにいちゃんのハナ,8.1,1900,剧情,日本,2010,15390
成长的烦恼：电影版,7.4,1900,喜剧/家庭,美国,2000,14060
外星人报到,7.5,1899,喜剧/科幻/家庭,美国,1999,14242.5
维莉蒂安娜,8.6,1898,剧情,西班牙/墨西哥,1961,16322.8
南京大屠杀 南,7.2,1898,剧情/历史/战争,中国大陆,1996,13665.6
黑暗来临,4.7,1897,惊悚/恐怖,美国/阿根廷/法国,2010,8915.9
寻找幸福的起点 Итальяне,8.5,1896,剧情/家庭,俄罗斯,2005,16116
警察与外星人,7.7,1896,喜剧/科幻/犯罪,法国,1979,14599.2
禁止的爱：善良的小姨子,5.5,1896,剧情/爱情/情色,韩国,2015,10428
小科学怪人,8,1895,剧情/喜剧/科幻/短片,美国,1984,15160
新半斤八两,7.1,1895,喜剧,香港,1990,13454.5
薄暮之光,7.8,1894,剧情/犯罪,芬兰/法国/德国,2007,14773.2
那夜的武士 その夜の,6.7,1893,剧情,日本,2012,12683.1
大学预备生,4.8,1893,喜剧,美国,2008,9086.4
卡地亚真爱微电影,7.3,1892,爱情/短片,法国,2011,13811.6
ABC,8,1891,剧情/悬疑/犯罪,英国,1992,15128
石榴坡的复仇 柘榴坂の仇,7.3,1891,古装,日本,2014,13804.3
伯爵夫人,6.8,1891,剧情/爱情/历史/战争,英国/美国/德国/中国,2005,12858.8
杰克去划船,6.7,1891,喜剧/爱情,美国,2010,12669.7
他们非圣人,6.3,1891,剧情/爱情/犯罪,美国,2013,11913.3
稍安勿躁,3.3,1891,剧情/喜剧,中国大陆,2012,6240.3
咖啡,6.1,1890,剧情,韩国,2012,11529
芭比之长发公主,7.6,1889,动画/家庭,美国,2002,14356.4
扑克之夜,6.5,1889,动作/惊悚/犯罪,美国/加拿大,2014,12278.5
大白鲨,6.4,1889,惊悚,美国,1978,12089.6
绅士爱美人,7.8,1888,剧情/喜剧/爱情/歌舞,美国,1953,14726.4
私恋失调,7.5,1888,剧情/喜剧/爱情,美国,2002,14160
复活,7.2,1888,动作/科幻/动画/惊悚,法国/英国/卢森堡,2006,13593.6
侠僧探案传奇之大夜叉,8,1887,动作/悬疑/武侠/古装,中国大陆,2015,15096
落难见真情,7.5,1887,剧情/喜剧/冒险,美国,1987,14152.5
夏夏夏,7.4,1887,剧情/喜剧/爱情,韩国,2010,13963.8
诉讼,8.3,1886,剧情,以色列/法国/德国,2014,15653.8
罗马妈妈,8.2,1886,剧情,意大利,1962,15465.2
哆啦A梦：大雄与云之国 ドラえもん のび太と云,8.4,1884,科幻/动画/冒险,日本,1992,15825.6
机动警察：废弃物13号 WXIII 機,7.8,1883,动作/科幻/动画/犯罪,日本,2002,14687.4
美丽密语,7.3,1883,剧情/动画/奇幻,韩国,2002,13745.9
一本漫画闯天涯II妙想,6,1883,喜剧,香港,1993,11298
怪物 MONST,5.1,1883,科幻/惊悚,日本,2014,9603.3
红楼梦,9,1882,剧情/爱情/戏曲,中国大陆,1905,16938
诡爱,4.9,1882,悬疑/惊悚,中国大陆,2012,9221.8
红色之路,7.3,1881,剧情/悬疑/惊悚,英国/丹麦,2006,13731.3
茗记2：初织,7,1881,动画/短片,中国大陆,2010,13167
花开伊吕波剧场版：甜蜜的家 劇場版 花咲くい,8.6,1880,剧情/喜剧/动画,日本,2013,16168
非关正义特别篇：密码破解 アンフェア the special,7.4,1880,悬疑,日本,2006,13912
聋哑部落 Плем,7.3,1880,剧情/犯罪,乌克兰/荷兰,2014,13724
青春祭,8.3,1879,剧情,中国大陆,1905,15595.7
变种外星人,8.1,1879,喜剧/科幻/动画,美国,2001-08-16/2002-01-09,15219.9
机器人情缘 HIN,7.7,1879,剧情/科幻,日本,2005,14468.3
安娜斯塔西娅,7.2,1879,剧情/动画/歌舞/家庭/冒险,美国,1997,13528.8
五月之后 ,7.2,1879,剧情,法国,2012,13528.8
人质,6.3,1879,惊悚/犯罪,美国,2013,11837.7
警网铁金刚,7.6,1878,剧情/动作/悬疑/惊悚/犯罪,美国,1968,14272.8
取款机杀人夜,4.7,1878,惊悚/恐怖,美国/加拿大,2012,8826.6
贝贝·勒·默果 P,7.4,1877,剧情/爱情/犯罪,法国,1937,13889.8
宝拉,7.2,1877,剧情/爱情/情色,法国/瑞士/德国/日本,1999,13514.4
花眼,6.6,1877,剧情/爱情/奇幻,中国大陆,2002,12388.2
写给上帝的信,7.9,1876,剧情/家庭,美国,2010,14820.4
边境,7.4,1876,剧情,美国,2014,13882.4
哆啦A梦：大雄的宇宙英雄记 映画ドラえもん のび太の宇宙,6.2,1875,剧情/科幻,日本,2015,11625
地狱骑士,6.1,1875,剧情/动作/惊悚/冒险,美国,2008,11437.5
老虎,7.8,1874,动画/短片,巴西,2006,14617.2
婚礼专家,6.2,1874,喜剧/爱情,美国/德国,2001,11618.8
起死回生,5.4,1874,科幻/惊悚/恐怖,美国,2015,10119.6
日落巴黎,8,1873,剧情/爱情/短片,香港,1905,14984
怒海孤舟,7.9,1873,惊悚/战争,美国,1944,14796.7
两个头一个大,6.5,1873,喜剧,美国,2003,12174.5
无名指,7.2,1872,剧情,法国/德国/英国,2005,13478.4
恋爱二三事 恋愛あるある,6.8,1872,剧情,日本,2015,12729.6
塞巴斯蒂安,6.8,1872,剧情/惊悚/同性/历史,英国,1976,12729.6
魔鬼天使,5.7,1872,剧情/惊悚,台湾,1995,10670.4
赖小子,7.4,1871,剧情,中国,2006,13845.4
邮差总按两次铃,7.4,1871,剧情/爱情/悬疑/惊悚/犯罪/黑色电影,美国,1946,13845.4
遗传学歌剧,7.1,1871,科幻/恐怖/歌舞,美国,2008,13284.1
红眼,6,1871,恐怖,韩国,2005,11226
紫霞,2.4,1871,爱情/奇幻,中国大陆,2015,4490.4
飞出个未来大电影2：万背之,8.3,1870,喜剧/动作/爱情/科幻/动画,美国,2008,15521
最伟大的,7.5,1870,剧情/爱情,美国,2009,14025
一见钟情 一見鐘,7.3,1870,爱情,香港/美国,2000,13651
新埃及艳后,7.3,1870,剧情/传记,德国/美国,1999,13651
草莓棉花糖 OVA 2卷,9,1869,动画/短片,日本,2007,16821
教宗的洗手间,8.2,1869,剧情,乌拉圭/巴西/法国,2007,15325.8
喜剧中心查理·辛吐槽大会,8.7,1868,喜剧/脱口秀,美国,2011,16251.6
雨水危机 ,7.9,1868,剧情/历史,西班牙/墨西哥/法国,2011,14757.2
初恋风暴 初戀風,6.8,1867,爱情,台湾,2010,12695.6
雷诺阿,6.7,1867,剧情/传记,法国,2012,12508.9
绿灯侠：翡翠骑士,6.6,1867,动作/科幻/动画,美国,2011,12322.2
遮蔽的天空,7.9,1866,剧情/冒险,英国/意大利,1990,14741.4
人与神,7.8,1866,剧情,法国,2010,14554.8
蓝色爱情,7.3,1865,爱情,中国,1905,13614.5
赤裸而来,7,1865,剧情/爱情/同性/家庭,美国,2013,13055
卡斯帕尔·豪泽尔之谜 ,8.6,1864,剧情/传记,原西德,1974,16030.4
养蜂人 Ο μελισσοκ,8.4,1863,剧情,法国/希腊/意大利,1987,15649.2
回转寿尸,6.5,1863,恐怖,香港,1997,12109.5
图书馆员：圣杯的诅咒,6.2,1863,动作/奇幻/冒险,美国,2008,11550.6
宫本武藏 宮本武,7.6,1862,剧情/动作/传记/历史/冒险,日本,1954,14151.2
乘风破浪,7.8,1861,动画/短片/冒险/运动,奥地利,1905,14515.8
天使的微笑,6.8,1861,剧情/喜剧/爱情,美国,2012,12654.8
灯红酒绿杀人夜,4.8,1861,悬疑/惊悚/恐怖,美国/加拿大,2008,8932.8
异空危情,4.1,1861,爱情/惊悚/情色,中国大陆,2010,7630.1
白夜,8.3,1860,剧情/爱情,意大利/法国,1957,15438
特殊交易,7.9,1860,剧情/短片,中国大陆,2013,14694
骆驼客,7.7,1860,动作/爱情/冒险,中国大陆,2012,14322
图书馆员：所罗门王的宝藏,6.5,1860,动作/奇幻/冒险,美国,2006,12090
激情热线,6.1,1859,喜剧,美国,1905,11339.9
君臣人子小命呜呼,8.5,1858,剧情/喜剧,英国/美国,1990,15793
天云山传奇,7.8,1858,剧情,中国大陆,1981,14492.4
顶楼大象,4.6,1858,剧情,韩国,2009,8546.8
束缚自由,8.8,1857,动作/动画/短片,法国,2008,16341.6
机器人嘉年华 ロボットカーニバ,8.4,1857,剧情/喜剧/科幻/动画/奇幻,日本,1987,15598.8
桑格莉之夏,7.2,1857,剧情/爱情/同性,立陶宛/法国/荷兰,2015,13370.4
英语老师,6.3,1857,剧情/喜剧,美国,2013,11699.1
警察与小偷,8.8,1854,喜剧,意大利,1951,16315.2
绅士决斗,7.4,1854,科幻/动画/短片,美国,1905,13719.6
恐惧幻影,6.2,1853,恐怖,美国,1905,11488.6
吸血莱恩,4.6,1853,动作/恐怖/奇幻/冒险,美国/德国,2005,8523.8
G4,6,1852,动作,香港,1997,11112
孤独的国王,8,1851,动画,法国,1905,14808
群龙夺宝 群龍奪,7,1851,剧情/动作,香港,1988,12957
诱惑法则,6.3,1851,剧情/喜剧/爱情/惊悚,美国/德国,2003,11661.3
爱情碎片,5.8,1851,喜剧/爱情,美国,1905,10735.8
战略力量,5,1851,动作,美国,1905,9255
警察学校2：初露锋,7.4,1850,喜剧/犯罪,美国,1985,13690
天上的恋人,7.3,1849,剧情,中国,1905,13497.7
堂吉诃德外传,5.9,1849,动画/家庭,西班牙/意大利,2009,10909.1
女孩闺房,5.8,1848,惊悚/恐怖,加拿大,2014,10718.4
冬日之光,8.3,1847,剧情,瑞典,1962,15330.1
拒绝再战,7.4,1847,剧情/战争,美国,2008,13667.8
飞狐外传 飛狐外,6.4,1847,剧情/爱情/武侠/古装,香港,1993,11820.8
甜蜜1,5.3,1847,剧情/爱情/家庭,中国大陆,2013,9789.1
男孩遇见女孩,7.9,1846,剧情,法国,1984,14583.4
最后的兵团,5.9,1846,动作/战争/奇幻/冒险,法国/英国/意大利/突尼斯,2007,10891.4
风月奇谭,7.5,1845,喜剧/情色,香港,1972,13837.5
坏品位,7.3,1845,喜剧/动作/科幻/恐怖,新西兰,1987,13468.5
乌鼠机密档案 烏鼠機密檔,7,1844,剧情/动作/犯罪,香港,1905,12908
邻人13号 ,6.6,1844,惊悚/恐怖,日本,2005,12170.4
鬼娃回魂,6.1,1844,动作/惊悚/恐怖,英国/美国,1991,11248.4
