电影名称,评分,评论数,类型,地区,上映年份,总分
无间道 無間,8.9,314171,悬疑/惊悚/犯罪,香港,2003,2796121.9
疯狂原始人,8.8,311462,喜剧/动画/冒险,美国,2013,2740865.6
西游记之大圣归来,8.3,311050,喜剧/动作/动画/奇幻,中国大陆,2015,2581715
西游降魔篇 西遊降魔,7.1,310504,喜剧/奇幻/冒险,中国大陆/香港,2013,2204578.4
中国合伙人,7.7,308571,剧情,中国大陆/香港,2013,2375996.7
辛德勒的名单,9.4,306904,剧情/历史/战争,美国,1993,2884897.6
致我们终将逝去的青春,6.7,306233,剧情/爱情,中国大陆,2013,2051761.1
神偷奶爸,8.5,305753,喜剧/动画/儿童,美国,2010,2598900.5
老炮儿,8.2,301406,剧情/犯罪,中国大陆,2015,2471529.2
情书,8.8,299308,剧情/爱情,日本,1995,2633910.4
触不可及,9.1,293040,剧情/喜剧,法国,2011,2666664
美人鱼,7.1,290491,喜剧/爱情/奇幻,中国大陆/香港,2016,2062486.1
禁闭岛,8.6,288607,剧情/悬疑/惊悚,美国,2010,2482020.2
沉默的羔羊,8.7,286852,剧情/惊悚/犯罪,美国,1991,2495612.4
疯狂动物城,9.3,284652,喜剧/动作/动画/冒险,美国,2016,2647263.6
超能陆战队,8.6,282909,喜剧/动作/科幻/动画/冒险,美国,2015,2433017.4
国王的演讲,8.3,282204,剧情/传记/历史,英国/澳大利亚/美国,2012,2342293.2
教父,9.2,280871,剧情/犯罪,美国,1972,2584013.2
志明与春娇 志明與春,8,280257,剧情/喜剧/爱情,香港,2010,2242056
哈尔的移动城堡 ハウルの動く,8.8,279362,爱情/动画/奇幻/冒险,日本,2004,2458385.6
致命魔术,8.8,279084,剧情/悬疑/惊悚,美国/英国,2006,2455939.2
穿普拉达的女王,7.9,278285,剧情/爱情,美国/法国,2007,2198451.5
金陵十三钗,8,275632,剧情/历史/战争,中国大陆/香港,2011,2205056
两小无猜,8.2,275216,剧情/喜剧/爱情,法国/比利时,2003,2256771.2
夏洛特烦恼,7.5,275133,喜剧/爱情,中国大陆,2015,2063497.5
复仇者联盟,8,274242,动作/科幻/奇幻/冒险,美国,2012,2193936
加勒比海盗,8.6,273718,动作/奇幻/冒险,美国,2003,2353974.8
入殓师 おくりび,8.8,273529,剧情,日本,2008,2407055.2
西西里的美丽传说 ,8.6,271882,剧情/情色/战争,意大利/美国,2000,2338185.2
告白,8.6,271280,剧情/惊悚,日本,2010,2333008
天空之城 天空の城ラピュ,9,270523,动画/奇幻/冒险,日本,1986,2434707
和莎莫的5,8,269049,剧情/喜剧/爱情,美国,2009,2152392
低俗小说,8.7,267960,剧情/犯罪,美国,1994,2331252
王牌特工：特工学院,8.5,267052,喜剧/动作/犯罪/冒险,英国/美国,2015,2269942
寻龙诀,7.7,266061,剧情/动作/奇幻/冒险,中国大陆/香港,2015,2048669.7
人在囧途,7.4,264042,喜剧,中国大陆,2010,1953910.8
闻香识女人,8.9,262432,剧情,美国,1992,2335644.8
断背山,8.5,262173,剧情/爱情/同性/家庭,美国/加拿大,2005,2228470.5
功夫熊猫,7.9,261481,喜剧/动作/动画/冒险,美国,2008,2065699.9
真爱至上,8.5,261280,剧情/喜剧/爱情,英国/美国,2003,2220880
天堂电影院,9.1,259119,剧情/爱情,意大利/法国,1988,2357982.9
岁月神偷 歲月神,8.6,258957,剧情/家庭,香港/中国大陆,2010,2227030.2
消失的爱人,8.7,258541,剧情/悬疑/惊悚/犯罪,美国,2014,2249306.7
蝙蝠侠：黑暗骑士,9,254865,剧情/动作/科幻/惊悚/犯罪,美国/英国,2008,2293785
指环王1：魔戒再,8.9,254771,剧情/动作/奇幻/冒险,新西兰/美国,2002,2267461.9
勇敢的心,8.8,254209,剧情/动作/传记/历史/战争,美国,1995,2237039.2
听说 聽,8.1,254146,剧情/爱情/家庭,台湾,2015,2058582.6
美丽心灵,8.9,253965,剧情/传记,美国,2001,2260288.5
致命,8.6,251785,剧情/悬疑/惊悚,美国,2003,2165351
重庆森林 重慶森,8.6,249432,剧情/爱情,香港,1994,2145115.2
云图,8,247647,剧情/科幻/悬疑,德国/美国/香港/中国大陆/新加坡,2013,1981176
暮光之城,7.4,247162,剧情/爱情/惊悚/奇幻,美国,2009,1828998.8
一天,7.8,244431,剧情/爱情,美国/英国,2011,1906561.8
冰雪奇缘,8.3,243482,喜剧/动画/奇幻/冒险,美国,2014,2020900.6
蝙蝠侠：黑暗骑士崛起,8.5,243166,剧情/动作/科幻/惊悚/犯罪,美国/英国,2012,2066911
疯狂的石头,8.2,243139,喜剧/犯罪,中国大陆/香港,2006,1993739.8
傲慢与偏见,8.4,243125,剧情/爱情,法国/英国/美国,2005,2042250
唐伯虎点秋香,8.3,241838,喜剧/爱情/古装,香港,1993,2007255.4
他其实没那么喜欢你,7.7,241360,剧情/喜剧/爱情,美国/德国/荷兰,2009,1858472
指环王3：王者无,9.1,240217,剧情/动作/奇幻/冒险,美国/新西兰,2004,2185974.7
一代宗师 一代宗,7.6,240065,剧情/动作/传记,中国大陆/香港,2015,1824494
功夫熊猫,8,239763,喜剧/动作/动画/冒险,美国,2011,1918104
朗读者,8.4,238453,剧情/爱情,美国/德国,2008,2003005.2
蓝色大门 藍色大,8.3,235464,剧情/爱情/同性,台湾/法国,2002,1954351.2
风声,8,234465,剧情/惊悚/战争/犯罪,中国大陆,2009,1875720
驯龙高手,8.7,234307,喜剧/动画/家庭/奇幻/冒险,美国,2010,2038470.9
碟中谍,8.3,234188,动作/惊悚/犯罪/冒险,美国,2012,1943760.4
恐怖游轮,8.3,233860,剧情/悬疑/惊悚,英国/澳大利亚,2009,1941038
狮子王,8.8,233718,剧情/动画/歌舞/家庭/冒险,美国,1995,2056718.4
非诚勿扰,7.2,233453,喜剧/爱情,中国大陆/香港,2008,1680861.6
我的野蛮女友,8,232174,剧情/喜剧/爱情,韩国,2001,1857392
两杆大烟枪,9,231805,剧情/喜剧/犯罪,英国,1998,2086245
飞越疯人院,9,231012,剧情,美国,1975,2079108
社交网络,8.1,230626,剧情/传记,美国,2010,1868070.6
无人区,8.1,230487,剧情/犯罪/西部,中国大陆,2013,1866944.7
春娇与志明 春嬌與志,7.4,230273,剧情/喜剧/爱情,香港/中国大陆,2012,1704020.2
喜剧之王 喜劇之,8.3,228985,剧情/喜剧/爱情,香港,1999,1900575.5
指环王2：双塔奇,8.9,228664,剧情/动作/奇幻/冒险,美国/新西兰,2003,2035109.6
香水,8.4,228316,剧情/犯罪/奇幻,德国/法国/西班牙/美国,2006,1917854.4
布达佩斯大饭店,8.7,227747,剧情/喜剧,美国/德国/英国,2014,1981398.9
冰川时代,8.4,227255,喜剧/动画/冒险,美国,2002,1908942
黑客帝国,8.7,226667,动作/科幻,美国/澳大利亚,1999,1972002.9
乱世佳人,9.2,226131,剧情/爱情/战争,美国,1939,2080405.2
火星救援,8.4,225665,剧情/科幻/冒险,美国/英国,2015,1895586
记忆碎片,8.5,225621,剧情/悬疑/惊悚/犯罪,美国,2000,1917778.5
环太平洋,7.6,225380,动作/科幻/冒险/灾难,美国,2013,1712888
射雕英雄传之东成西就 射鵰英雄傳之東成西,8.7,223892,喜剧/古装,香港,1993,1947860.4
小时代,4.8,223830,剧情/喜剧/爱情,中国大陆/台湾,2013,1074384
哈利·波特与死亡圣器(,8.6,223829,剧情/悬疑/奇幻/冒险,美国/英国,2011,1924929.4
秒速5厘米 秒速5センチメ,8.5,223763,剧情/爱情/动画,日本,2007,1901985.5
恋恋笔记本,8.5,223564,剧情/爱情,美国,2004,1900294
恋恋笔记本,8.5,223440,剧情/爱情,美国,2004,1899240
史密斯夫妇,7.6,222886,喜剧/动作/爱情,美国,2005,1693933.6
了不起的盖茨比,7.7,222409,剧情/爱情,澳大利亚/美国,2013,1712549.3
死亡诗社,8.9,221446,剧情,美国,1989,1970869.4
画皮 畫,6.6,221045,剧情/动作/惊悚,中国大陆/香港/新加坡,2008,1458897
阳光灿烂的日子,8.7,220342,剧情,中国大陆/香港,1995,1916975.4
功夫,7.7,219755,喜剧/动作/犯罪/奇幻,中国大陆/香港,2004,1692113.5
心花路放,7,218692,喜剧/爱情,中国大陆,2014,1530844
地心引力,7.8,216948,剧情/科幻/冒险,美国/英国,2013,1692194.4
速度与激情,8.3,216400,动作/犯罪,美国/中国大陆/日本,2015,1796120
捉妖记,6.9,215475,喜剧/奇幻/古装,中国大陆/香港,2015,1486777.5
阳光姐妹淘,8.8,215430,剧情/喜剧,韩国,2011,1895784
心灵捕手,8.7,213342,剧情,美国,1997,1856075.4
被解救的姜戈,8.5,213102,剧情/动作/西部/冒险,美国,2013,1811367
亲爱的,8.4,211437,剧情/家庭,中国大陆/香港,2014,1776070.8
我的少女时代 我的少女時,7.9,211311,喜剧/爱情,台湾,2015,1669356.9
非诚勿扰,6.5,211059,喜剧/爱情,中国大陆,2010,1371883.5
猩球崛起,8,208421,剧情/动作/科幻/惊悚,美国,2011,1667368
单身男女 單身男,6.9,208201,喜剧/爱情,香港,2011,1436586.9
东邪西毒 東邪西,8.5,207840,剧情/动作/爱情/武侠/古装,香港/台湾,1994,1766640
被嫌弃的松子的一生 嫌われ松子の一,8.9,206462,剧情/歌舞,日本,2006,1837511.8
变形金刚,8.1,205436,动作/科幻,美国,2007,1664031.6
大鱼,8.7,204900,剧情/家庭/奇幻/冒险,美国,2003,1782630
十月围城,7.7,204659,剧情/动作/历史,香港/中国大陆,2009,1575874.3
玛丽和马克思,8.9,204655,剧情/爱情/动画,澳大利亚,2009,1821429.5
猜火车,8.5,203732,剧情/犯罪,英国,1996,1731722
X战警：逆转未,8.2,203196,动作/科幻/冒险,美国/英国,2014,1666207.2
活着,9,202794,剧情/家庭,中国大陆/香港,1994,1825146
里约大冒险,8.4,202623,喜剧/动画/冒险,美国,2011,1702033.2
明日边缘,8.1,202611,动作/科幻,美国/加拿大,2014,1641149.1
超体,7,202240,动作/科幻,法国,2014,1415680
11度青春之《老男,8.5,201951,剧情/喜剧/短片,中国大陆,2010,1716583.5
变形金刚,7.7,200598,动作/科幻,美国,2009,1544604.6
